customer_id,age,occupation_type,employment_tenure_months,city_tier,declared_annual_income,existing_loan_count,existing_loan_types,residence_type,relationship_tenure_years,bureau_score_proxy
CUST000001,37,salaried,109,metro,1192000.0,0,,rented,0.5,645
CUST000002,26,salaried,17,metro,742000.0,1,auto,owned,5.4,733
CUST000003,41,salaried,172,metro,1103000.0,0,,owned,1.6,692
CUST000004,42,salaried,130,metro,1494000.0,0,,owned,0.2,690
CUST000005,21,salaried,3,metro,861000.0,1,auto,rented,2.4,557
CUST000006,24,salaried,26,metro,460000.0,1,personal,owned,0.6,640
CUST000007,36,salaried,57,tier3,827000.0,0,,owned,3.0,712
CUST000008,32,business_owner,41,metro,799000.0,1,mortgage,rented,2.8,730
CUST000009,34,business_owner,76,metro,434000.0,0,,rented,6.6,759
CUST000010,28,salaried,59,tier3,347000.0,1,mortgage,owned,13.5,613
CUST000011,42,salaried,59,metro,1276000.0,0,,rented,2.5,687
CUST000012,41,salaried,172,tier2,1626000.0,0,,owned,0.4,620
CUST000013,35,salaried,88,tier3,444000.0,0,,rented,2.0,778
CUST000014,44,business_owner,191,tier2,578000.0,0,,owned,1.4,651
CUST000015,38,salaried,115,metro,471000.0,2,personal|auto,owned,2.0,602
CUST000016,28,salaried,19,tier2,408000.0,0,,owned,0.9,685
CUST000017,37,salaried,69,tier2,406000.0,1,home,owned,3.7,454
CUST000018,27,salaried,49,metro,885000.0,0,,owned,5.2,678
CUST000019,42,self_employed,135,metro,494000.0,1,personal,owned,2.4,602
CUST000020,34,self_employed,95,metro,430000.0,0,,owned,0.3,900
CUST000021,33,salaried,117,tier3,314000.0,0,,owned,4.5,599
CUST000022,29,salaried,22,metro,797000.0,1,home,owned,4.1,655
CUST000023,44,business_owner,169,metro,459000.0,1,home,owned,1.2,746
CUST000024,33,salaried,62,tier2,684000.0,0,,rented,4.8,725
CUST000025,31,self_employed,39,tier3,78000.0,0,,rented,3.9,748
CUST000026,32,business_owner,128,metro,579000.0,0,,rented,0.3,654
CUST000027,39,salaried,178,metro,763000.0,1,mortgage,owned,2.4,576
CUST000028,37,business_owner,78,tier2,587000.0,0,,owned,1.1,900
CUST000029,38,salaried,166,tier2,306000.0,0,,owned,4.5,701
CUST000030,38,self_employed,51,tier2,608000.0,0,,owned,14.2,675
CUST000031,52,salaried,311,tier3,387000.0,1,personal,owned,3.0,752
CUST000032,31,salaried,89,metro,950000.0,1,mortgage,rented,1.8,537
CUST000033,30,salaried,36,metro,381000.0,0,,rented,1.0,613
CUST000034,28,salaried,49,metro,480000.0,2,mortgage|home,owned,0.3,586
CUST000035,39,salaried,155,metro,707000.0,0,,owned,6.5,645
CUST000036,44,salaried,112,tier2,1069000.0,0,,owned,2.0,555
CUST000037,34,salaried,67,tier3,503000.0,0,,rented,1.8,715
CUST000038,28,salaried,51,metro,901000.0,1,personal,rented,7.8,761
CUST000039,28,salaried,24,tier2,411000.0,0,,owned,3.9,733
CUST000040,40,business_owner,70,metro,184000.0,0,,owned,0.6,719
CUST000041,40,business_owner,83,tier2,756000.0,1,auto,rented,1.1,672
CUST000042,39,salaried,147,metro,1125000.0,1,auto,owned,8.6,617
CUST000043,29,salaried,42,tier2,710000.0,0,,rented,5.3,720
CUST000044,36,self_employed,109,metro,1425000.0,1,home,owned,3.4,670
CUST000045,35,self_employed,67,tier3,398000.0,1,personal,owned,1.1,511
CUST000046,36,salaried,58,tier3,516000.0,1,mortgage,owned,0.6,624
CUST000047,41,self_employed,157,tier3,222000.0,0,,rented,0.1,726
CUST000048,36,salaried,48,tier3,537000.0,0,,owned,2.6,528
CUST000049,40,salaried,144,metro,1819000.0,2,auto|home,owned,1.7,551
CUST000050,35,self_employed,93,tier2,307000.0,0,,owned,0.8,637
CUST000051,37,self_employed,157,metro,443000.0,0,,rented,6.5,459
CUST000052,40,self_employed,122,tier3,541000.0,1,personal,owned,1.1,720
CUST000053,23,salaried,17,metro,628000.0,1,auto,rented,4.0,712
CUST000054,32,salaried,31,metro,939000.0,1,home,rented,1.4,765
CUST000055,31,salaried,93,tier2,1240000.0,1,personal,owned,0.5,674
CUST000056,29,salaried,35,metro,932000.0,1,auto,rented,0.3,603
CUST000057,32,salaried,30,tier2,948000.0,1,personal,owned,3.3,544
CUST000058,46,salaried,169,metro,388000.0,1,mortgage,owned,1.4,704
CUST000059,28,salaried,29,tier2,792000.0,1,personal,owned,5.2,744
CUST000060,42,self_employed,130,tier3,865000.0,1,mortgage,owned,3.8,579
CUST000061,21,salaried,3,tier2,346000.0,2,personal|auto,rented,1.0,567
CUST000062,32,salaried,94,metro,563000.0,0,,owned,0.1,678
CUST000063,36,self_employed,134,metro,1151000.0,1,mortgage,owned,0.0,692
CUST000064,39,salaried,180,metro,765000.0,0,,owned,1.4,739
CUST000065,40,business_owner,142,metro,739000.0,1,home,owned,1.1,714
CUST000066,41,salaried,54,tier2,619000.0,0,,owned,5.3,622
CUST000067,32,salaried,96,metro,918000.0,1,home,rented,0.2,773
CUST000068,31,business_owner,49,metro,440000.0,1,auto,owned,3.3,623
CUST000069,41,salaried,75,metro,998000.0,1,mortgage,owned,2.6,652
CUST000070,33,self_employed,38,tier3,233000.0,1,home,rented,9.7,731
CUST000071,24,self_employed,17,metro,688000.0,1,home,rented,0.7,741
CUST000072,25,salaried,19,metro,745000.0,1,mortgage,rented,1.3,743
CUST000073,27,self_employed,33,tier2,915000.0,0,,owned,2.3,663
CUST000074,38,business_owner,138,metro,1087000.0,0,,rented,0.5,686
CUST000075,36,business_owner,150,tier3,480000.0,0,,rented,1.8,602
CUST000076,40,salaried,184,metro,910000.0,1,home,owned,8.1,760
CUST000077,31,salaried,31,tier2,775000.0,1,auto,rented,3.1,626
CUST000078,36,self_employed,62,tier2,221000.0,0,,owned,2.7,475
CUST000079,40,salaried,133,tier3,493000.0,0,,owned,15.0,640
CUST000080,32,salaried,34,tier2,1241000.0,0,,rented,0.8,602
CUST000081,38,salaried,89,tier3,476000.0,0,,rented,0.0,386
CUST000082,29,salaried,58,tier2,624000.0,0,,rented,3.1,603
CUST000083,32,salaried,93,tier2,479000.0,2,home|auto,rented,3.0,750
CUST000084,31,salaried,40,tier2,703000.0,0,,rented,7.7,717
CUST000085,25,salaried,30,tier2,554000.0,3,mortgage|auto|home,rented,0.8,692
CUST000086,38,salaried,126,tier2,1149000.0,0,,owned,2.9,783
CUST000087,31,business_owner,106,metro,629000.0,1,home,owned,4.0,602
CUST000088,35,salaried,67,metro,709000.0,0,,owned,0.2,551
CUST000089,38,salaried,140,metro,611000.0,1,personal,rented,3.9,649
CUST000090,38,salaried,140,metro,1967000.0,1,home,owned,1.9,687
CUST000091,40,salaried,81,tier2,569000.0,1,mortgage,owned,4.4,566
CUST000092,34,business_owner,94,metro,458000.0,0,,owned,1.6,664
CUST000093,31,business_owner,97,tier2,203000.0,1,auto,rented,1.3,728
CUST000094,34,salaried,59,tier2,404000.0,0,,rented,6.8,704
CUST000095,21,salaried,3,tier2,766000.0,0,,rented,1.0,720
CUST000096,23,salaried,11,tier2,742000.0,3,home|auto|mortgage,owned,0.5,619
CUST000097,24,salaried,25,metro,677000.0,1,auto,owned,0.1,552
CUST000098,27,salaried,14,metro,622000.0,1,personal,rented,0.5,547
CUST000099,38,salaried,107,tier2,1439000.0,1,auto,rented,12.8,757
CUST000100,27,salaried,23,tier3,1702000.0,2,mortgage|auto,rented,1.7,773
CUST000101,31,salaried,74,tier2,1095000.0,0,,rented,2.1,664
CUST000102,45,salaried,184,tier2,1279000.0,0,,owned,3.5,816
CUST000103,32,salaried,69,tier2,1390000.0,1,mortgage,owned,1.5,665
CUST000104,40,salaried,125,tier2,1665000.0,1,mortgage,rented,5.3,633
CUST000105,27,salaried,29,tier2,516000.0,1,auto,rented,5.2,528
CUST000106,33,salaried,58,tier2,411000.0,2,personal|auto,owned,0.6,623
CUST000107,27,salaried,49,metro,2033000.0,0,,rented,0.2,775
CUST000108,32,salaried,37,metro,572000.0,3,personal|auto|mortgage,rented,0.2,794
CUST000109,41,salaried,168,metro,566000.0,1,home,owned,4.5,751
CUST000110,21,self_employed,3,tier2,213000.0,0,,rented,2.8,699
CUST000111,38,business_owner,197,tier3,376000.0,1,personal,owned,4.5,798
CUST000112,36,salaried,66,metro,358000.0,0,,owned,1.7,592
CUST000113,30,salaried,57,metro,411000.0,0,,rented,2.3,761
CUST000114,23,self_employed,5,tier3,388000.0,0,,rented,4.8,705
CUST000115,35,self_employed,157,metro,177000.0,1,home,owned,3.0,698
CUST000116,30,salaried,69,tier3,772000.0,0,,rented,3.5,526
CUST000117,36,salaried,108,metro,850000.0,2,auto|home,owned,0.4,710
CUST000118,35,salaried,113,metro,1098000.0,0,,rented,1.0,733
CUST000119,47,salaried,120,tier2,754000.0,3,home|personal|auto,owned,0.2,488
CUST000120,33,salaried,85,metro,740000.0,0,,rented,0.4,751
CUST000121,26,salaried,43,metro,1183000.0,1,auto,owned,1.2,449
CUST000122,36,salaried,46,metro,1123000.0,1,personal,rented,1.3,552
CUST000123,36,salaried,148,metro,771000.0,0,,rented,0.3,671
CUST000124,45,salaried,224,metro,387000.0,2,auto|mortgage,rented,4.0,797
CUST000125,41,self_employed,201,tier3,438000.0,0,,rented,1.8,643
CUST000126,37,salaried,139,metro,511000.0,1,home,rented,5.7,672
CUST000127,46,salaried,117,metro,992000.0,0,,owned,1.2,573
CUST000128,25,salaried,27,metro,916000.0,0,,rented,3.1,637
CUST000129,29,self_employed,30,tier3,194000.0,0,,owned,0.3,675
CUST000130,27,salaried,49,tier3,484000.0,0,,rented,0.3,801
CUST000131,31,salaried,35,tier3,519000.0,0,,rented,1.5,612
CUST000132,23,salaried,18,tier3,516000.0,0,,rented,4.1,620
CUST000133,40,self_employed,85,metro,733000.0,0,,owned,6.2,751
CUST000134,33,self_employed,43,tier2,428000.0,0,,rented,6.3,607
CUST000135,23,business_owner,6,metro,666000.0,2,mortgage|home,owned,0.2,640
CUST000136,26,self_employed,48,tier3,319000.0,1,auto,owned,1.6,694
CUST000137,37,salaried,61,tier2,420000.0,0,,rented,1.3,572
CUST000138,41,salaried,78,metro,1152000.0,0,,rented,5.8,495
CUST000139,50,salaried,107,tier3,728000.0,1,personal,owned,4.2,776
CUST000140,58,self_employed,218,tier3,527000.0,2,mortgage|auto,owned,3.8,690
CUST000141,38,salaried,165,tier3,445000.0,1,home,owned,6.6,540
CUST000142,27,salaried,37,metro,382000.0,2,home|personal,owned,1.5,725
CUST000143,21,business_owner,3,metro,590000.0,0,,rented,2.5,860
CUST000144,37,salaried,59,metro,352000.0,1,auto,owned,0.7,787
CUST000145,28,salaried,17,tier2,788000.0,1,mortgage,rented,7.3,867
CUST000146,31,salaried,52,tier2,1460000.0,0,,rented,2.7,569
CUST000147,30,business_owner,36,metro,324000.0,0,,owned,1.0,702
CUST000148,33,business_owner,32,tier3,526000.0,0,,owned,6.6,711
CUST000149,43,salaried,70,metro,985000.0,1,personal,owned,0.7,644
CUST000150,36,business_owner,89,tier2,663000.0,1,personal,rented,0.2,650
CUST000151,33,business_owner,120,tier3,533000.0,0,,rented,5.5,388
CUST000152,26,self_employed,14,tier2,263000.0,0,,rented,0.9,807
CUST000153,21,business_owner,3,metro,621000.0,1,auto,rented,1.5,534
CUST000154,31,salaried,72,metro,710000.0,0,,rented,0.7,736
