customer_id,applied_flag,converted_flag,loan_type,application_amount
CUST000001,0,0,none,0.0
CUST000002,1,1,home,1944000.0
CUST000003,1,1,personal,1204000.0
CUST000004,1,1,mortgage,3268000.0
CUST000005,1,1,home,918000.0
CUST000006,0,0,none,0.0
CUST000007,0,0,none,0.0
CUST000008,1,0,home,1851000.0
CUST000009,0,0,none,0.0
CUST000010,0,0,none,0.0
CUST000011,0,0,none,0.0
CUST000012,0,0,none,0.0
CUST000013,0,0,none,0.0
CUST000014,0,0,none,0.0
CUST000015,1,1,personal,982000.0
CUST000016,1,0,mortgage,996000.0
CUST000017,0,0,none,0.0
CUST000018,0,0,none,0.0
CUST000019,1,1,home,1158000.0
CUST000020,1,0,mortgage,2317000.0
CUST000021,0,0,none,0.0
CUST000022,1,1,auto,865000.0
CUST000023,0,0,none,0.0
CUST000024,0,0,none,0.0
CUST000025,1,0,mortgage,271000.0
CUST000026,0,0,none,0.0
CUST000027,0,0,none,0.0
CUST000028,0,0,none,0.0
CUST000029,0,0,none,0.0
CUST000030,0,0,none,0.0
CUST000031,0,0,none,0.0
CUST000032,1,1,personal,1902000.0
CUST000033,1,1,home,331000.0
CUST000034,0,0,none,0.0
CUST000035,1,1,mortgage,783000.0
CUST000036,1,0,home,1040000.0
CUST000037,0,0,none,0.0
CUST000038,1,0,home,1291000.0
CUST000039,0,0,none,0.0
CUST000040,1,0,home,387000.0
CUST000041,1,0,auto,1409000.0
CUST000042,0,0,none,0.0
CUST000043,0,0,none,0.0
CUST000044,0,0,none,0.0
CUST000045,0,0,none,0.0
CUST000046,0,0,none,0.0
CUST000047,0,0,none,0.0
CUST000048,0,0,none,0.0
CUST000049,0,0,none,0.0
CUST000050,1,1,auto,373000.0
CUST000051,0,0,none,0.0
CUST000052,0,0,none,0.0
CUST000053,1,1,home,523000.0
CUST000054,0,0,none,0.0
CUST000055,0,0,none,0.0
CUST000056,1,0,auto,1972000.0
CUST000057,1,1,mortgage,2110000.0
CUST000058,0,0,none,0.0
CUST000059,0,0,none,0.0
CUST000060,1,0,mortgage,1210000.0
CUST000061,0,0,none,0.0
CUST000062,0,0,none,0.0
CUST000063,0,0,none,0.0
CUST000064,0,0,none,0.0
CUST000065,0,0,none,0.0
CUST000066,1,1,home,832000.0
CUST000067,1,1,personal,1046000.0
CUST000068,0,0,none,0.0
CUST000069,0,0,none,0.0
CUST000070,0,0,none,0.0
CUST000071,0,0,none,0.0
CUST000072,0,0,none,0.0
CUST000073,0,0,none,0.0
CUST000074,0,0,none,0.0
CUST000075,1,0,home,1235000.0
CUST000076,0,0,none,0.0
CUST000077,0,0,none,0.0
CUST000078,0,0,none,0.0
CUST000079,0,0,none,0.0
CUST000080,0,0,none,0.0
CUST000081,1,1,personal,579000.0
CUST000082,1,1,auto,981000.0
CUST000083,1,1,personal,1138000.0
CUST000084,1,1,home,801000.0
CUST000085,0,0,none,0.0
CUST000086,0,0,none,0.0
CUST000087,0,0,none,0.0
CUST000088,1,1,auto,1596000.0
CUST000089,0,0,none,0.0
CUST000090,0,0,none,0.0
CUST000091,0,0,none,0.0
CUST000092,0,0,none,0.0
CUST000093,1,1,auto,340000.0
CUST000094,1,1,personal,786000.0
CUST000095,0,0,none,0.0
CUST000096,1,1,home,1325000.0
